Source,Target,Type,Weight
6.76E+18,7.28E+18,Undirected,1
7.28E+18,7.53E+18,Undirected,1
6.79E+18,7.29E+18,Undirected,1
6.79E+18,7.65E+18,Undirected,1
6.79E+18,7.53E+18,Undirected,1
7.29E+18,7.65E+18,Undirected,1
7.65E+18,7.65E+18,Undirected,1
7.53E+18,7.65E+18,Undirected,1
7.29E+18,7.65E+18,Undirected,1
6.76E+18,7.29E+18,Undirected,1
7.29E+18,7.53E+18,Undirected,1
6.76E+18,7.65E+18,Undirected,1
7.53E+18,7.65E+18,Undirected,1
6.76E+18,7.53E+18,Undirected,1
6.82E+18,7.00E+18,Undirected,1
7.30E+18,7.46E+18,Undirected,1
7.30E+18,7.61E+18,Undirected,1
7.23E+18,7.30E+18,Undirected,1
6.93E+18,7.30E+18,Undirected,2
6.97E+18,7.30E+18,Undirected,1
6.83E+18,7.30E+18,Undirected,1
6.93E+18,7.46E+18,Undirected,1
6.97E+18,7.46E+18,Undirected,1
6.83E+18,7.46E+18,Undirected,1
6.93E+18,7.61E+18,Undirected,1
6.97E+18,7.61E+18,Undirected,1
6.83E+18,7.61E+18,Undirected,1
6.93E+18,7.23E+18,Undirected,1
6.97E+18,7.23E+18,Undirected,1
6.83E+18,7.23E+18,Undirected,2
6.93E+18,6.97E+18,Undirected,1
6.83E+18,6.93E+18,Undirected,1
6.83E+18,6.97E+18,Undirected,1
7.07E+18,7.54E+18,Undirected,3
7.12E+18,7.42E+18,Undirected,2
6.66E+18,7.42E+18,Undirected,2
7.13E+18,7.42E+18,Undirected,1
6.95E+18,7.42E+18,Undirected,1
6.66E+18,7.12E+18,Undirected,4
7.12E+18,7.13E+18,Undirected,3
6.66E+18,7.13E+18,Undirected,3
6.66E+18,6.95E+18,Undirected,2
6.95E+18,7.13E+18,Undirected,2
6.99E+18,7.12E+18,Undirected,1
7.12E+18,7.31E+18,Undirected,2
6.78E+18,7.12E+18,Undirected,2
7.00E+18,7.12E+18,Undirected,3
6.84E+18,7.12E+18,Undirected,2
6.99E+18,7.31E+18,Undirected,1
6.78E+18,6.99E+18,Undirected,1
6.99E+18,7.00E+18,Undirected,1
6.66E+18,6.99E+18,Undirected,1
6.99E+18,7.13E+18,Undirected,1
6.95E+18,6.99E+18,Undirected,1
6.84E+18,6.99E+18,Undirected,1
6.78E+18,7.31E+18,Undirected,2
7.00E+18,7.31E+18,Undirected,2
6.66E+18,7.31E+18,Undirected,2
7.13E+18,7.31E+18,Undirected,1
6.95E+18,7.31E+18,Undirected,1
6.84E+18,7.31E+18,Undirected,2
6.78E+18,7.00E+18,Undirected,2
6.66E+18,6.78E+18,Undirected,2
6.78E+18,7.13E+18,Undirected,1
6.78E+18,6.95E+18,Undirected,2
6.78E+18,6.84E+18,Undirected,2
6.66E+18,7.00E+18,Undirected,3
7.00E+18,7.13E+18,Undirected,2
6.95E+18,7.00E+18,Undirected,1
6.84E+18,7.00E+18,Undirected,2
6.66E+18,6.84E+18,Undirected,2
6.84E+18,7.13E+18,Undirected,1
